1,0,10840,9320,11374,11838,707283,706423,709730,9607,12320,10418,9328,9467,8297,399616,11370,10152,14045,286028,11830,12409,10019,899275,10793,10744,10936,863527,10786,39355,707808,28667,21058,-9483,2530,-17327,13499,9177,1122,25208,48368,323387,64805,158587,35395,-598,-47878,28603,-14868,-58649,49522530,49522816,49522767,49999527,49999856,50000038,10112,10019,12442,708803,709457,706365,29571014,21640888,20152340,731827,3503525,3367582,3258508,735012,3827036,2062639,7657349,733889,5432895,3930667,6971125,733579,10942,10746
2,9999,30691,27307,30011,34720,706927,706501,709684,25710,34165,31569,27317,28628,21016,412666,30006,26307,38159,280887,34696,35374,32628,874120,30504,30310,31076,861925,30488,-25486,707701,-36779,66673,29855,2503,41403,26855,-25145,993,-31184,54180,319987,45613,140218,-26084,32593,16907,-36820,50583,6812,49537732,49537816,49538197,49999569,49999977,50000099,30711,23100,27904,708803,709457,706365,29572408,21641948,20153250,731828,3534069,3397171,3286658,735062,3853235,2089908,7652395,738535,5461190,3959585,6989934,735147,31102,30318
3,19999,60168,57285,59548,63612,706750,706440,709783,55399,63155,60777,57293,58405,50081,401410,59532,55910,66615,300885,63577,64175,61672,865436,60079,59915,60554,865076,60070,39297,707655,28679,59964,-2538,2540,-18897,51673,10391,917,28331,24731,324811,44545,129470,35245,-1336,-46408,28624,-14861,-58640,49558105,49557972,49558582,49999665,50000027,50000095,58828,51586,55547,708803,709457,706365,29588059,21644550,20173417,731530,3558673,3410194,3321581,732779,3882422,2108204,7699515,739400,5488768,3976447,7031730,734568,60576,59922
4,29999,75392,74769,76516,74865,706651,706392,709821,74457,76001,74240,74768,74207,71790,390809,76490,74951,76506,313926,74829,75360,73077,863465,75356,75369,75293,867584,75366,-25711,707619,-36771,7483,-25117,2620,40640,64308,-24594,975,-28595,2460,335109,44185,137753,-23976,30892,17347,-36808,50593,6816,49563419,49563316,49563858,49999810,50000015,50000026,75216,72796,73464,708803,709457,706365,29576093,21646259,20154026,731883,3544084,3403189,3300069,734283,3864297,2097088,7669182,738950,5471852,3966753,7004749,735043,75289,75368
5,39999,63740,65386,66748,59119,706638,706309,709799,67022,62063,60883,65384,62997,68177,379388,66717,67522,59443,324237,59088,59584,57488,864571,63633,63815,63058,869913,63661,39100,707579,28680,56610,30496,2677,-19065,49579,9917,996,28199,22031,342491,40329,140693,37150,-2696,-46376,28623,-14854,-58643,49547435,49547477,49548019,50000007,49999981,49999927,67703,72101,69524,708803,709457,706365,29572438,21645259,20149736,731939,3508930,3374472,3261608,735381,3833288,2071347,7646660,735785,5438734,3939151,6969803,734373,63030,63806
6,50000,34690,36847,38024,29265,706924,706428,709818,39130,32664,31664,36860,34061,42092,363864,38013,39631,29245,334009,29250,29713,27828,870939,34497,34709,33836,872751,34515,-25930,707720,-36777,70680,-2352,2639,41857,23499,-24417,1020,-31587,50733,337541,35256,144199,-21862,29559,17042,-36822,50590,6815,49527825,49527913,49528573,50000209,49999962,49999814,41731,49933,46395,708803,709457,706365,29562122,21645465,20134373,732202,3497954,3353531,3263188,733112,3819926,2047416,7692191,729829,5426103,3915795,6982931,731719,33805,34699
7,59999,12246,12541,14109,10132,707140,706337,709846,14002,12107,10430,12550,11195,15234,351248,14103,14589,11338,331403,10127,10672,8406,903441,12152,12231,11907,873042,12158,38964,707770,28670,29547,-32578,2649,-16993,7209,8485,1061,25146,60209,338817,30705,149942,39202,-3197,-48068,28603,-14863,-58644,49519806,49519944,49520585,50000366,49999996,49999711,15853,21692,20187,708803,709457,706365,29568575,21641212,20148415,731898,3497387,3353610,3261953,733248,3821024,2048312,7693085,729938,5426731,3916138,6983963,731698,11895,12227
8,70000,15006,12648,15074,17292,707091,706378,709827,12228,17342,15158,12656,13288,9639,413430,15068,12787,20067,271880,17283,17911,15356,888490,14875,14758,15220,860630,14864,-25434,707762,-36782,39667,27899,2625,42399,14510,-25162,1080,-31743,66116,335655,50552,152738,-26175,-32896,16289,-36829,50585,6810,49525921,49526131,49526650,50000438,50000084,49999642,15115,11127,15719,708803,709457,706365,29566135,21642923,20142996,732016,3511256,3377741,3262595,735606,3831829,2070755,7642895,735854,5438857,3939904,6968585,734496,15236,14763
9,79999,40559,37145,39616,44864,706862,706298,709904,35135,44106,41618,37155,38610,29857,409182,39597,35662,48182,288532,44847,45458,42956,869051,40396,40188,41008,862975,40379,39384,707684,28679,71255,-3449,2708,-18274,40518,10221,1050,27476,43719,346349,51962,148403,34469,-711,-46558,28618,-14853,-58642,49544605,49544761,49545132,50000419,50000214,49999627,40641,33636,40446,708803,709457,706365,29582534,21642828,20167159,731608,3543592,3401820,3300626,734091,3866972,2099293,7671174,739216,5473269,3967418,7007315,734975,41037,40197
10,90000,67917,65600,67818,70283,706437,706391,709819,64146,70299,67986,65579,66237,59369,397717,67795,64699,73004,305744,70248,70849,68314,864705,67850,67736,68175,865975,67855,-25643,707546,-36769,45118,31995,2724,40263,63546,-25105,940,-29076,16473,348511,48494,132845,-24591,31358,17298,-36808,50597,6816,49562465,49562511,49562515,50000335,50000355,49999669,66959,61082,65642,708803,709457,706365,29577962,21642595,20160701,731714,3559974,3412108,3322042,732922,3879413,2106098,7695626,739234,5487394,3975732,7029388,734620,68189,67740
11,100000,74478,74708,76313,72407,706428,706322,709816,75095,74206,72666,74683,73447,73707,387247,76279,75589,73566,317472,72371,72882,70685,863430,74421,74496,74170,868306,74448,39166,707519,28680,19932,27621,2703,-19586,65360,9230,923,29202,6633,345760,45462,130369,36510,-2268,-46330,28626,-14855,-58643,49560130,49560176,49559631,50000228,50000488,49999753,75365,75526,74700,708803,709457,706365,29573981,21641529,20156005,731775,3529982,3392694,3283478,734943,3854656,2090788,7654738,738574,5459847,3958379,6988697,735104,74157,74492
12,109999,54886,57003,58186,49517,706654,706448,709652,59008,52769,51816,57002,54288,61109,375015,58171,59479,49549,327576,49481,49922,48069,865009,54744,54948,54102,870669,54771,-25844,707582,-36777,67987,-3235,2557,40665,44294,-25517,951,-30250,30753,326993,41878,134299,-22692,30023,17281,-36816,50586,6812,49540650,49540627,49539792,50000125,50000591,49999848,59705,65788,60720,708803,709457,706365,29557312,21640183,20132986,732142,3503106,3366518,3258871,734868,3824703,2060739,7655465,733660,5430730,3929002,6968550,733560,54071,54938
13,119999,25364,27054,28458,20648,707203,706469,709793,29266,23879,22547,27075,24527,32047,356707,28451,29845,21073,336068,20636,21168,19019,879440,25174,25353,24616,873588,25185,38934,707818,28667,61956,32525,2538,-16975,15666,8309,1003,24709,60946,324428,32211,141703,38822,-3556,-46993,28602,-14870,-58644,49524277,49524029,49523171,50000049,50000652,49999920,31774,38830,33436,708803,709457,706365,29562676,21636597,20144714,731888,3496795,3350065,3264768,732597,3820226,2044949,7704032,728892,5425687,3912340,6988871,731129,24589,25344
14,129999,9890,9284,11020,9394,707471,706470,709791,10222,10518,8755,9294,8742,10243,370345,11017,10786,11049,313650,9388,9938,7634,907537,9866,9884,9808,869022,9864,-25781,707907,-36788,13087,9798,2513,43482,5690,-26741,1130,-33117,32869,321157,29870,159674,-22356,30901,15409,-36838,50577,6809,49520901,49520520,49519669,49999996,50000637,49999946,10112,14270,12608,708803,709457,706365,29555952,21637276,20134115,732078,3499820,3360271,3259321,734193,3821151,2053326,7672106,731701,5427270,3921680,6974052,732661,9805,9883
15,140000,21750,18856,21272,25098,707265,706280,709843,17638,24699,22450,18872,19935,13878,415948,21261,18158,28077,273613,25086,25694,23236,878146,21568,21407,22044,860954,21552,39457,707792,28667,55666,-4608,2575,-16400,19841,10199,1053,25810,63992,329165,47674,148904,33724,-29,-46939,28601,-14870,-58645,49531418,49531010,49530427,49999950,50000530,49999923,22418,18440,25111,708803,709457,706365,29569119,21636563,20154205,731728,3519752,3385294,3271195,735471,3842946,2081718,7643410,737610,5448706,3949431,6976241,734942,22066,21414
