1,0,63068,58590,65430,65243,706693,708708,708087,60855,66847,60851,58605,58400,58934,874861,65428,62848,68290,313271,65219,66240,59111,465629,63004,62807,63591,865350,62989,46745,707826,36185,55133,-8575,2134,-32411,54916,17811,947,35911,21853,197831,51088,133714,45225,2385,-38124,36198,-7397,-51196,49559273,49558970,49559372,49999528,49999791,50000423,60769,64869,66890,708530,705625,710653,13328560,21629789,6168791,729490,2942190,2224396,3465234,736077,6946979,3105333,8305201,738083,5493755,3969677,6924194,734542,63619,62816
2,9999,75350,74847,76419,74785,706596,708510,708049,75929,75071,74260,74856,74258,76371,870924,76396,76390,71604,326103,74753,74116,73208,454547,75320,75301,75365,867844,75327,-18301,707716,-29285,7055,-22180,2103,28984,62727,-23755,953,-21285,2338,195005,48796,134555,-17953,-31396,23528,-29255,58077,14275,49562065,49561717,49561443,49999409,49999935,50000289,60769,64869,66890,708530,705625,710653,13305567,21635463,6144174,730942,2921883,2212508,3434922,737231,6927769,3093390,8292963,737284,5472707,3957769,6890914,735155,75367,75302
3,19999,60752,64102,60696,57413,706781,708483,707866,64168,56577,60864,64127,63132,66962,864310,60676,62951,49631,338361,57373,55380,60302,442520,60642,60795,60162,870248,60658,46547,707707,36187,60690,34233,1945,-32051,47095,17698,966,34222,24980,180261,45496,136499,45654,948,-36438,36196,-7396,-51188,49544597,49544398,49543510,49999371,50000099,50000098,75549,74781,75427,708530,705625,710653,13279775,21638446,6117596,732462,2888230,2183319,3402200,735982,6898772,3066526,8302466,733953,5440328,3928918,6861255,734139,60139,60788
4,29999,31376,35295,31370,27430,707105,708356,707941,35317,26788,31670,35324,34195,38649,849862,31354,33811,20625,351686,27415,25581,30988,427788,31169,31348,30610,873049,31179,-18522,707799,-29291,68008,-7528,1767,30384,23176,-21571,1050,-24874,54459,163753,43559,148473,-17137,33071,25334,-29273,58071,14278,49526002,49526005,49524789,49999425,50000225,49999878,66027,61325,59809,707949,708778,707962,13271237,21644943,6106977,733153,2878842,2162835,3415632,731455,6888304,3045140,8342461,729943,5430502,3907856,6877264,731526,30583,31340
5,39999,11033,12012,11727,9369,707380,708404,707931,12637,9933,10454,12026,11267,14202,822494,11723,12533,8179,348677,9364,9126,9611,446795,10976,11021,10835,871616,10976,46485,707902,36178,22645,42295,1654,-30423,5603,24395,1109,31869,51513,153220,29913,156727,47208,219,-36732,36177,-7403,-51190,49519563,49519741,49518411,49999566,50000274,49999676,39418,34907,31959,707949,708778,707962,13272575,21643667,6108727,733036,2879346,2165978,3411200,732390,6890088,3048826,8335558,730637,5431472,3911244,6873040,732029,10828,11019
6,50000,16992,13496,19021,18522,707239,708417,707965,15612,20075,15215,13510,13271,14198,862426,19013,16962,22785,290943,18512,19677,13639,487298,16858,16709,17304,860356,16848,-18004,707870,-29293,45423,31761,1707,30548,13736,-26934,1052,-25679,67313,158095,47774,148719,-17631,-29645,20822,-29277,58069,14279,49527234,49527649,49526467,49999757,50000232,49999546,14458,13035,10183,707949,708778,707962,13285493,21639789,6122838,732192,2895414,2191797,3405041,737006,6902323,3072401,8293137,734980,5446569,3936608,6862622,734733,17326,16715
7,59999,44137,38634,46867,46993,706847,708409,707865,41286,48994,41720,38652,38561,38722,875874,46846,43514,52444,302927,46961,48549,39734,473956,43994,43752,44720,863277,43986,46828,707705,36183,71155,-9640,1864,-31303,40567,15106,968,33320,40386,172709,54044,136781,45173,2894,-38792,36188,-7399,-51189,49546779,49547427,49546738,49999954,50000110,49999527,17838,24372,22381,707949,708778,707962,13317600,21629293,6158105,730073,2929892,2217290,3446708,736805,6935459,3098614,8296449,737710,5481443,3962503,6905152,734861,44754,43763
8,70000,69881,66497,71802,71383,706388,708365,708008,68343,72531,68036,66485,66211,66996,874309,71766,69909,72396,317694,71348,71859,66558,461731,69820,69675,70252,866251,69832,-18236,707583,-29284,39163,36513,2110,30213,58363,-24938,897,-22434,14001,195704,48974,126763,-18099,-30933,22997,-29261,58079,14278,49562858,49563609,49563484,50000114,49999957,49999619,44169,51682,50710,707949,708778,707962,13319703,21629730,6160045,729973,2940379,2223126,3462919,736109,6944343,3103874,8302946,738017,5490706,3968286,6918690,734692,70272,69682
9,79999,73297,74268,73918,71685,706329,708318,708022,74952,71516,72652,74249,73499,76254,869076,73876,74779,66517,330120,71652,70469,71790,450881,73235,73286,73068,868662,73264,46613,707553,36188,26484,31909,2085,-30885,58458,16926,852,36703,9025,193332,46757,120421,45462,1461,-37017,36197,-7394,-51188,49557697,49558646,49558960,50000217,49999821,49999802,69024,72358,72449,707949,708778,707962,13294033,21627423,6135356,731304,2908039,2202367,3418016,737346,6917164,3085560,8290136,736545,5459600,3947838,6875333,735071,73060,73284
10,90000,51564,55517,51482,47648,706621,708282,708059,55545,46808,51785,55525,54388,58836,859947,51450,54069,39606,342732,47629,45540,51172,438343,51409,51591,50841,871129,51430,-18442,707652,-29290,69625,-8617,1956,30935,37186,-23352,917,-22959,33799,181277,42370,129574,-17526,-32437,24652,-29270,58072,14277,49537511,49538696,49539510,50000236,49999733,50000026,74581,71563,72489,707949,708778,707962,13270674,21635057,6109658,732849,2882540,2174338,3404095,734401,6891737,3057210,8313526,732471,5433654,3919333,6862552,733248,50814,51583
11,100000,22363,25609,22502,18955,707058,708285,707955,25726,18578,22532,25628,24617,28597,843281,22489,24505,13598,355378,18945,17502,21821,423521,22162,22314,21685,874028,22170,46382,707764,36178,57018,36866,1745,-29902,14310,19168,1024,32776,64212,161656,37824,144749,46451,-331,-35214,36177,-7403,-51190,49522271,49523415,49524735,50000175,49999718,50000236,56716,49871,50811,707949,708778,707962,13267709,21637308,6105970,733089,2877919,2159868,3418662,730686,6888801,3043841,8347805,729579,5429571,3905055,6880400,731127,21663,22307
12,109999,9830,9323,10911,9283,707124,708235,708012,10404,10264,8740,9331,8740,11023,822321,10904,10896,10243,325866,9279,9624,7742,475488,9808,9790,9858,866529,9807,-18254,707788,-29296,12610,16288,1738,32305,7889,-19998,1070,-26005,32106,161069,47138,151245,-16135,-31385,21889,-29285,58070,14277,49520673,49521576,49523068,50000046,49999756,50000381,28708,22907,22488,707949,708778,707962,13270088,21635944,6108784,732912,2881521,2172719,3404450,734115,6890356,3054602,8318135,731993,5432570,3917299,6863733,733015,9861,9791
13,119999,24625,20009,27083,26861,706871,708398,707959,22508,28711,22505,20018,19852,20444,870649,27071,24269,32198,292378,26847,28320,20640,483611,24458,24257,25056,860948,24448,46918,707740,36178,60144,-10969,1842,-30003,21921,16387,955,32062,61422,170713,52543,134920,45378,3381,-39644,36177,-7402,-51191,49533151,49533718,49535199,49999886,49999825,50000438,10686,13079,10029,707949,708778,707962,13292478,21626248,6134196,731349,2905436,2200590,3414596,737411,6913233,3082820,8288569,736309,5456716,3945529,6872158,735029,25084,24266
14,129999,54033,48830,56535,56804,706496,708372,708087,51224,58562,51768,48829,48762,48762,876720,56507,53376,61189,308063,56783,58129,49984,469321,53920,53687,54616,864316,53917,-18160,707649,-29287,66600,34986,2045,30741,46685,-24863,882,-22899,30840,189656,50739,124532,-18205,-30443,22401,-29266,58076,14278,49554043,49554038,49555405,49999722,49999885,50000400,28086,35627,31633,707949,708778,707962,13316224,21623748,6158544,729961,2938765,2222166,3460538,736196,6942158,3102979,8300077,738036,5488638,3966965,6915729,734724,54648,53698
